AIR.PA;120.08,133.96,137.12,149.41,154.35,166.98,172.5,188.74;'2023-06-12;
ALV.DE;197.3,224.55,247.8,261.25,274,282.63,304.5;'2023-02-19;
ASML;797.21,969.34,995.72,1053.63,1081.08,1164.37,1248.83;'2024-03-04;
CS.PA;27.06,30.69,31.26,33.37,35.81,38.22;'2023-12-01;
HNR1.DE;193.17,217.48,224.1,231.77,248.35,269.68;'2023-09-20;
HLAG.DE;230.8,277.5,332.25,388.6,401.03,474.6;'2023-02-14;
OR.PA;372.85,415.25,431.55,462.67,483.81,493.76,516.92,559.4;'2023-07-19;
MC.PA;707.292,871.51,938.16,1015.35,1061.91,1141.16,1303.8,1399.72;'2023-06-27;
NVO;81.85,98.32,102.87,109.05,114.51,127.02,143.23;'2023-09-17;
RHM.DE;328.41,380.31,405.62,421.17,454.49,508.1,594.62;'2023-02-13;
ADBE;485.42,599.21,623.49,699.54,756.68,828.41,903.32;'2023-10-30;
GOOG;122.65,157.5,175.22,184.92,200.37,216.62,247.41;'2023-12-19;
AMZN;134.08,167.26,175.51,197.72,217.41,237.83;'2023-12-21;
AMD;151.95,221.14,255.69,305.58,361.14;'2023-10-27;
AMGN;280.76,322.45,345.18,354.75,382.33,394.58,430.47;'2024-02-07;
AAPL;166.3,198.23,205.88,212.46,226.550,253.93,272.14,289.39;'2023-07-23;
AMAT;135.89,160.5,164.46,183.05,199.02,223.31;'2023-05-12;
ADP;236.27,263.09,268.55,291.04,311.51,333.06;'2023-08-21;
BKNG;2588.6,3368.18,3652.29,3849.53,4218.16,4575.9;'2023-11-03';
AVGO;997.92,1295.97,1460.21,1620.28,1717.64,1959.85,2302.43;'2024-02-09';
CELH;49.85,68.98,76.22,96.85,119.59,150.99;'2023-08-23';
CVX;134.33,160.78,178.75,183.57,203.49,222.43;'2023-05-27';
COST;644.37,713.35,758.57,790.82,843.59,902.64,957.91;'2024-01-20';
LLY;493.4,572.02,614.25,655.27,708.01,765.26;'2023-08-29';
JPM;147.11,159.38,166.53,172.96,187.62,208.97;'2023-11-04';
MAR;186.02,220.55,233.32,239.05,260.21,279.6,310.32;'2023-10-12';
MCK;397.64,476.34,498.7,555.26,567.79,626.45,673.68;'2023-12-08';
META;419.45,526.2,601.2,683.08,774.64;'2023-08-13';
MDLZ;71.45,79.63,86.46,93.45,97.58,102.68;'2024-02-09';
MNST;52.45,60.465,61.59,63.76,64.25,66.79,68.97,74.05,78.9;'2023-09-16';
NVDA;659.83,951.35,1030.45,1180.82,1295.34;'2023-06-19';
PANW;260.03,314.41,325.46,353.88,382.92,411.64;'2024-01-05';
PEP;167.05,188.14,192.43,205.26,211.48,227.18,242.98;'2023-10-01';
PG;151.43,161.9,168.11,176.12,181.33,190.91,198.94,205.42;'2023-08-11';
SYK;317.45,371.41,403.96,439.94,475.92;'2024-02-05';
TSLA;214.33,277.52,300.14,351.07,361.82,414.49,475.8;'2023-09-10';
TMUS;139.55,151.1,160.23,164.15,170.7,177.23,184.07;'2023-10-11';
NOW;584.94,681.48,771.02,833.62,936.61,1022.04;'2023-11-23';
CRWD;298.48,374.08,434.51,489.28,552.72;'2024-02-19';
CRM;175.86,234.49,264.62,302.35,345.88;'2023-06-08';
AVGO;997.92,1295.97,1460.21,1620.28,1717.64,1959.86,2302.43;'2024-02-16';
HEI.DE;66.81,78.73,87.58,91.83,101.68,113.89;'2023-12-11';
SU.PA;156.68,171.59,185.34,193.03,208.39,223.81;'2023-12-04';
MUV2.DE;348.64,406.02,425.71,453.56,463.07,487.42,518.43,548.84;'2024-01-13';
MBG.DE;59.41,73.48,81.83,91.63,101.4;'2023-12-15';
ABBV;158.68,188.84,199.43,222.36,226.76,247.69;'2024-02-26';
SAP.DE;156.05,182.52,195.16,204.85,219.04,241.69,264.36;'2024-02-20';
AI.PA;151.91,167.78,171.02,180.04,190.85,202.78;'2024-02-20';
SIE.DE;149.59,171.06,176.19,184.09,200.87,222.58,245.69;'2024-01-10';
ABB.ST;33.82,36.21,37.36,38.91,41.33,43.01;'2023-10-10';
8TRA.DE;16.05,19.44,20.39,22.63,23.81,26.52,28.46;'2023-03-21';
SREN.SW;91.93,100.16,104.73,106.65,114.41,123.24,134.07;'2023-09-27';
TLX.VI;62.51,68.31,71.45,73.83,77.36,80.64,85.04;'2023-11-19';
FP.VI;48.272,56.82,60.52,65.24,67.78,75.18,82.42;'2023-05-27';
LIN;346.18,391.18,411.51,428.71,433.19,453.26,471.55;'2023-12-18';
BP;5.22,6.15,6.57,7.31,7.94,8.75;'2023-06-03';
SHEL;25.62,28.86,30.98,34.13,35.51,38.65,43.07;'2023-05-22';
CL;72.42,77.32,80.17,81.02,84.1,88.53;'2023-09-01';
XOM;106.67,122.53,126.48,130.81,137.59,148.77,159.7,172.05;'2023-05-20';
MSFT;306.71,362.97,376.97,388.78,430.62,450.82,489.14,518.98;'2023-07-26';
ORCL;107.42,121.82,128.97,139.85,147.71,160.11;'2023-08-05';
V;258.77,283.05,297.54,307.31,325.63,345.95;'2024-01-21';
WMT;50.62,55.64,57.84,61.22,64.12,69.9,77.96;'2024-01-17';
WM;153.93,167.46,181.39,196.38,209.59;'2023-10-14';
CVX;134.3,160.78,178.75,183.57,203.49,222.43;'2023-05-27';
DTG.DE;39.58,46.16,49.33,53.79,58.51;'2024-02-01';
